Compound name;SMILES;Total Molweight;cLogP;H-Acceptors;H-Donors;sp3-Carbon Fraction;Metabolic pathway;Bioactivity;Species;Reference
Haliclonacyclamine E;[H][C@@]12C[N@]3C[C@@]([H])(C1)[C@@]1([H])CC[N@](C[C@]1([H])CCCCCC\C=C\C=C\CC3)CC\C=C/CCCCCC2;466.795;92.844;2;0;0.8125;Amino acids and Peptides/ Polyketides;Cytotoxicity against HL-60, L929, B16, and U138 cells. Cytoskeleton alterations.;Arenosclera brasiliensis (callyspongiidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Arenosclerin A;[H][C@@]12C[N@]3C[C@@]([H])(C1)[C@@]1([H])CC[N@](C[C@]1([H])CCCCCC\C=C\C=C\C(O)C3)CC\C=C/CCCCCC2;482.794;82.626;3;1;0.8125;Amino acids and Peptides/ Polyketides;Cytotoxicity against HL-60, L929, B16, and U138 cells. Cytoskeleton alterations.;Arenosclera brasiliensis (callyspongiidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Arenosclerin B;[H][C@]12C[N@@]3C[C@]([H])(C1)[C@@]1([H])CC[N@@](C[C@@]1([H])CCCCCC\C=C/C=C\C(O)C3)C\C=C/CCCCCCC2;482.794;82.626;3;1;0.8125;Alkaloids;Cytotoxicity against HL-60, L929, B16, and U138 cells. Cytoskeleton alterations.;Arenosclera brasiliensis (callyspongiidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Arenosclerin C;[H]C1C[N@]2C[C@]3([H])C[C@]([H])(C2)[C@@]2([H])CC[N@](C[C@]2([H])CCCCCC\C=C\C=C\1)CC\C=C/CCCCCC3;466.795;92.844;2;0;0.8125;Alkaloids;Cytotoxicity against HL-60, L929, B16, and U138 cells. Cytoskeleton alterations.;Arenosclera brasiliensis (callyspongiidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Geodiamolide A;C[C@@H]\1C[C@@H](OC(=O)[C@@H](NC(=O)[C@H](N(C(=O)[C@@H](NC(=O)[C@H](C/C(=C1)/C)C)C)C)CC2=CC(=C(C=C2)O)I)C)C;641.541;35.632;9;3;0.57143;Shikimates and Phenylpropanoids;Antiproliferative activity against T47D and MCF7 cells. Cytoskeleton alterations on actin backbone.;Geodia corticostylifera (Geodiidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Geodiamolide  B;C[C@@H]\1C[C@@H](OC(=O)[C@@H](NC(=O)[C@H](N(C(=O)[C@@H](NC(=O)[C@H](C/C(=C1)/C)C)C)C)CC2=CC(=C(C=C2)O)Br)C)C;594.545;38.513;9;3;0.57143;Alkaloids;Same as Geodiamolide A;Geodia corticostylifera (Geodiidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Geodiamolide  I;C[C@@H]\1C[C@@H](OC(=O)C[C@@H](NC(=O)[C@H](N(C(=O)[C@@H](NC(=O)[C@H](C/C(=C1)/C)C)C)C)CC2=CC(=C(C=C2)O)Br)C3=CC=C(C=C3)O)C;686.641;48.992;10;4;0.47059;Alkaloids;Same as Geodiamolide A;Geodia corticostylifera (Geodiidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
8bβ-hydroxyptilocaulin;CCCCC1=C2NC(N)=NCC2(O)CCC1C;237.346;16.121;4;3;0.76923;Alkaloids;Same as Geodiamolide A;Monanchora arbuscula (Crambeidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Ptilocaulin;CCCCC1=C2[C@@H]3[C@@H](CC[C@@H]3N=C(N2)N)C[C@@H]1C;247.385;27.363;3;2;0.8;Alkaloids;Cytotoxicity against HL-60, MDA‑MB‑435, HCT-8, and SF-295 cells. Apoptosis induction.;Monanchora arbuscula (Crambeidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
Haliclonacyclamine F;C1CCC[C@@H]2C[C@H]3CN(C2)CC/C=C\C/C=C\CCCCC[C@@H]4[C@@H]3CCN(C4)CC/C=C\CC1;466.795;92.844;2;0;0.8125;Alkaloids;Cytotoxicity against HL-60, MDA‑MB‑435, HCT-8, and SF-295 cells. Apoptosis induction.;Pachychalina alcaloidifera (Niphatidae);"Wilke DV, Jimenez PC, Branco PC, Rezende-Teixeira P, Trindade-Silva AE, Bauermeister A, Lopes NP, Costa-Lotufo LV. Anticancer Potential of Compounds from the Brazilian Blue Amazon. Planta Med. 2021 Feb;87(1-02):49-70. doi: 10.1055/a-1257-8402. Epub 2020 Nov 3. PMID: 33142347."
